store_id,sku_id,stock_on_hand,reorder_point,safety_stock,avg_weekly_demand,forecast_weekly_demand,risk_demand_estimate,demand_source,stockout_risk,below_safety_risk,reorder_risk,overstock_risk,final_risk_category,final_recommended_action
ST25,SKU00749,115,27,10,0.06976744186046512,,0.06976744186046512,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST06,SKU04913,0,26,9,0.1503267973856209,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST13,SKU03088,0,97,40,0.3,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST30,SKU04489,0,74,37,0.12804878048780488,1.0,1.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU02519,259,45,9,0.05357142857142857,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST27,SKU01939,299,55,24,0.058823529411764705,,0.058823529411764705,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST20,SKU02983,0,77,25,0.10067114093959731,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST19,SKU03633,0,81,27,0.1291866028708134,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST20,SKU02057,421,74,36,1.0,,1.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST07,SKU01485,0,55,27,0.05263157894736842,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST26,SKU04854,450,86,32,0.08823529411764706,,0.08823529411764706,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST29,SKU04105,0,83,32,0.11274509803921569,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST06,SKU04350,0,92,26,0.19786096256684493,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST05,SKU02930,0,23,8,0.30434782608695654,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST10,SKU00830,0,87,23,0.07471264367816093,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST16,SKU00500,0,22,7,0.10596026490066225,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST27,SKU03254,393,73,33,3.0,,3.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST09,SKU02954,0,31,8,0.29411764705882354,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST17,SKU01317,0,78,37,0.10270270270270271,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST03,SKU01153,0,98,24,0.087248322147651,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST27,SKU02449,0,24,6,0.14457831325301204,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST03,SKU01274,0,36,11,0.12376237623762376,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST03,SKU01045,0,89,37,0.4623115577889447,2.0,2.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST06,SKU02740,0,64,28,0.10309278350515463,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU03150,290,51,18,0.04597701149425287,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST27,SKU00584,287,70,24,0.04878048780487805,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST07,SKU04318,0,77,24,0.19760479041916168,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST13,SKU03840,0,82,27,0.18716577540106952,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST04,SKU00758,305,83,20,0.3125,,0.3125,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST29,SKU02737,0,33,12,0.1103448275862069,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST29,SKU02858,0,79,32,0.33507853403141363,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST17,SKU04726,558,96,43,1.0,,1.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST25,SKU04321,0,68,26,5.5311004784688995,10.0,10.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU00251,204,46,13,0.04477611940298507,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST13,SKU00002,0,47,14,0.24630541871921183,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST25,SKU03274,0,94,40,0.0661764705882353,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST03,SKU00845,0,72,27,0.23737373737373738,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU02950,0,94,21,0.08823529411764706,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST27,SKU02141,0,60,23,0.5245098039215687,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST06,SKU01264,279,88,29,0.05,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST14,SKU03353,0,47,21,0.07913669064748201,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST14,SKU01138,0,31,11,0.07103825136612021,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST03,SKU04362,0,91,28,0.08783783783783784,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST01,SKU03535,0,32,12,0.12738853503184713,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST25,SKU01677,0,96,46,0.07731958762886598,4.0,4.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST17,SKU01264,485,100,39,0.05,0.0,0.0,Seasonal-Naive Forecast,False,False,False,True,Overstock Candidate,Review / Reduce Inventory
ST04,SKU00692,0,88,19,0.13471502590673576,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST11,SKU03031,588,98,45,0.11764705882352941,,0.11764705882352941,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST28,SKU00002,0,100,28,0.24630541871921183,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST13,SKU04016,0,99,39,0.07865168539325842,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST20,SKU02046,0,62,15,0.15841584158415842,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST13,SKU03090,255,58,21,0.12121212121212122,,0.12121212121212122,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST05,SKU04663,0,36,7,0.06521739130434782,,0.06521739130434782,Average Weekly Demand,True,True,True,False,Critical Stockout,Immediate Reorder
ST15,SKU04856,229,55,22,1.0,,1.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST18,SKU02387,180,36,12,0.15789473684210525,,0.15789473684210525,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST23,SKU01189,0,44,21,0.10227272727272728,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST30,SKU02747,0,72,27,0.12,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST21,SKU04913,0,63,26,0.1503267973856209,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST21,SKU04350,0,97,29,0.19786096256684493,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST06,SKU00285,0,92,27,0.3553299492385787,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU01153,0,97,21,0.087248322147651,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST27,SKU03727,0,54,18,0.7644230769230769,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU01045,0,34,13,0.4623115577889447,2.0,2.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST10,SKU02484,0,30,12,0.07142857142857142,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST08,SKU03727,0,45,21,0.7644230769230769,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST29,SKU00524,95,20,5,1.0,,1.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST09,SKU00286,0,89,40,0.295,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST15,SKU01649,184,39,12,2.0,,2.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST02,SKU03292,0,93,32,0.4729064039408867,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST07,SKU01542,492,89,25,1.0,,1.0,Average Weekly Demand,False,False,False,False,Healthy / Monitor,No Immediate Action
ST26,SKU03743,0,92,21,0.12418300653594772,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
ST09,SKU02648,0,76,23,0.07262569832402235,0.0,0.0,Seasonal-Naive Forecast,True,True,True,False,Critical Stockout,Immediate Reorder
