date,receipt_id,store_id,sku_id,customer_id,quantity,unit_price,total_value,channel,discount_pct,promo_id
2025-04-02,RCPT00000001,ST16,SKU02498,CUST01410,1,2379.11,2379.11,In-Store,0.0,
2025-04-02,RCPT00000001,ST16,SKU04596,CUST01410,3,335.55,1006.65,In-Store,0.0,
2022-04-24,RCPT00000002,ST15,SKU00078,CUST00134,1,820.53,820.53,Online,0.0,
2022-04-24,RCPT00000002,ST15,SKU00554,CUST00134,2,88.32,176.64,Online,0.0,
2024-09-22,RCPT00000003,ST20,SKU03727,CUST08826,1,1660.93,1660.93,Online,0.0,
2024-09-22,RCPT00000003,ST20,SKU03971,CUST08826,2,1736.31,3472.62,Online,0.0,
2025-10-06,RCPT00000004,ST21,SKU04378,CUST02089,1,224.62,224.62,Online,0.0,
2024-12-12,RCPT00000005,ST20,SKU00884,CUST04932,1,202.79,202.79,In-Store,0.0,
2025-12-08,RCPT00000006,ST08,SKU02757,CUST09022,1,191.03,191.03,In-Store,0.0,
2024-01-13,RCPT00000007,ST18,SKU03661,CUST01032,1,195.37,195.37,Online,0.0,
2024-01-13,RCPT00000007,ST18,SKU03820,CUST01032,3,961.05,2883.15,Online,0.0,
2024-09-15,RCPT00000008,ST25,SKU01535,CUST04707,2,296.6,593.2,Online,0.0,
2025-05-20,RCPT00000009,ST19,SKU02333,CUST00369,1,53.1,53.1,Online,0.0,
2025-05-20,RCPT00000009,ST19,SKU01371,CUST00369,3,1277.61,3832.83,Online,0.0,
2022-11-19,RCPT00000010,ST23,SKU00830,CUST03274,3,290.01,870.03,In-Store,0.0,
2023-08-02,RCPT00000011,ST06,SKU00004,CUST09902,2,233.64,235.04,Online,49.7,PROMO030
2025-09-11,RCPT00000012,ST18,SKU01811,CUST08226,1,1351.94,1351.94,In-Store,0.0,
2022-02-04,RCPT00000013,ST27,SKU02848,CUST08415,3,334.01,1002.03,In-Store,0.0,
2022-02-04,RCPT00000013,ST27,SKU01939,CUST08415,1,297.93,297.93,In-Store,0.0,
2022-02-04,RCPT00000013,ST27,SKU04845,CUST08415,1,1000.23,514.12,In-Store,48.6,PROMO037
2022-02-04,RCPT00000013,ST27,SKU00994,CUST08415,3,602.13,1806.39,In-Store,0.0,
2023-12-04,RCPT00000014,ST26,SKU03506,CUST01370,1,541.05,541.05,In-Store,0.0,
2023-12-04,RCPT00000014,ST26,SKU01774,CUST01370,3,129.33,387.99,In-Store,0.0,
2023-04-04,RCPT00000015,ST28,SKU00809,CUST02307,3,54.18,146.77,In-Store,9.7,PROMO072
2024-05-13,RCPT00000016,ST18,SKU02902,CUST03705,1,84.54,56.81,Online,32.8,PROMO036
2022-09-29,RCPT00000017,ST22,SKU04321,CUST07613,2,961.3,1922.6,In-Store,0.0,
2022-09-29,RCPT00000017,ST22,SKU03569,CUST07613,1,3079.29,3079.29,In-Store,0.0,
2022-09-29,RCPT00000017,ST22,SKU03010,CUST07613,3,768.67,2306.01,In-Store,0.0,
2024-10-09,RCPT00000018,ST27,SKU01018,CUST08070,2,242.43,484.86,In-Store,0.0,
2024-10-09,RCPT00000018,ST27,SKU02580,CUST08070,1,389.15,389.15,In-Store,0.0,
2025-08-02,RCPT00000019,ST20,SKU02854,CUST02108,1,173.3,173.3,In-Store,0.0,
2025-10-12,RCPT00000020,ST19,SKU02695,CUST06541,3,272.52,817.56,Online,0.0,
2023-12-09,RCPT00000021,ST04,SKU04321,CUST01328,4,961.3,3845.2,Online,0.0,
2023-12-09,RCPT00000021,ST04,SKU03339,CUST01328,2,89.68,179.36,Online,0.0,
2023-12-09,RCPT00000021,ST04,SKU00236,CUST01328,3,104.24,312.72,Online,0.0,
2022-12-29,RCPT00000022,ST20,SKU04596,CUST02476,3,335.55,1006.65,Mobile App,0.0,
2022-12-29,RCPT00000022,ST20,SKU04911,CUST02476,1,524.33,524.33,Mobile App,0.0,
2022-03-02,RCPT00000023,ST15,SKU03363,CUST02830,1,111.1,111.1,In-Store,0.0,
